"subject","cond","t","predictable","rt"
11,1,65,"3",416
11,1,66,"1",983
11,1,66,"3",452
11,1,67,"1",903
11,1,67,"3",507
11,1,68,"1",773
11,1,68,"3",889
11,1,69,"1",858
11,1,69,"3",372
11,1,70,"1",691
11,1,70,"3",383
11,1,71,"1",882
11,1,71,"3",1001
11,1,72,"1",843
11,1,72,"3",976
171,3,1,"1",1230
171,3,1,"3",1392
171,3,2,"1",1307
171,3,2,"3",1107
171,3,3,"1",1050
171,3,3,"3",1109
171,3,4,"1",1081
171,3,4,"3",1028
171,3,5,"1",1118
171,3,5,"3",1130
171,3,6,"1",1012
171,3,6,"3",1006
171,3,7,"1",1027
171,3,7,"3",982
171,3,8,"1",1013
171,3,8,"3",1101
171,3,9,"1",925
171,3,9,"3",1000
171,3,10,"1",962
171,3,10,"3",954
171,3,11,"1",1059
171,3,11,"3",1142
171,3,12,"1",1078
171,3,12,"3",1069
171,3,13,"1",945
171,3,14,"1",961
171,3,14,"3",971
171,3,15,"1",956
171,3,15,"3",967
171,3,16,"1",984
171,3,16,"3",932
171,3,17,"1",960
171,3,17,"3",1057
171,3,18,"1",1006
171,3,18,"3",894
171,3,19,"1",917
171,3,19,"3",991
171,3,20,"1",1076
171,3,20,"3",951
171,3,21,"1",889
171,3,21,"3",1035
171,3,22,"1",841
171,3,22,"3",1185
171,3,23,"1",876
171,3,23,"3",1054
171,3,24,"1",890
171,3,24,"3",1004
171,3,25,"1",1070
171,3,25,"3",869
171,3,26,"1",1016
171,3,26,"3",995
171,3,27,"1",913
171,3,27,"3",970
171,3,28,"1",974
171,3,28,"3",1024
171,3,29,"1",933
171,3,29,"3",1015
171,3,30,"1",889
171,3,30,"3",938
171,3,31,"1",893
171,3,31,"3",992
171,3,32,"1",953
171,3,32,"3",929
171,3,33,"1",910
171,3,33,"3",976
171,3,34,"1",961
171,3,34,"3",1060
171,3,35,"1",907
171,3,35,"3",1021
171,3,36,"1",856
171,3,36,"3",1100
171,3,37,"1",853
171,3,37,"3",959
171,3,38,"1",874
171,3,38,"3",934
171,3,39,"1",1024
171,3,39,"3",1113
171,3,40,"1",850
171,3,40,"3",1052
171,3,41,"1",1115
171,3,41,"3",1110
171,3,42,"1",883
171,3,42,"3",972
171,3,43,"1",968
171,3,43,"3",1003
171,3,44,"1",872
171,3,44,"3",991
171,3,45,"1",963
171,3,45,"3",1084
171,3,46,"1",903
171,3,46,"3",971
171,3,47,"1",919
171,3,48,"1",922
171,3,48,"3",1068
171,3,49,"1",1092
171,3,49,"3",890
171,3,50,"1",994
171,3,50,"3",1073
171,3,51,"1",934
171,3,51,"3",992
171,3,52,"1",909
171,3,52,"3",886
171,3,53,"1",873
171,3,53,"3",1140
171,3,54,"1",1013
171,3,54,"3",947
171,3,55,"1",979
171,3,55,"3",907
171,3,56,"1",928
171,3,56,"3",915
171,3,57,"1",883
171,3,57,"3",989
171,3,58,"1",883
171,3,58,"3",1245
171,3,59,"1",933
171,3,60,"1",1002
171,3,60,"3",845
171,3,61,"1",883
171,3,61,"3",972
171,3,62,"1",906
171,3,62,"3",915
171,3,63,"1",832
171,3,63,"3",868
171,3,64,"1",962
171,3,64,"3",931
171,3,65,"1",1081
171,3,65,"3",962
171,3,66,"1",879
171,3,66,"3",1026
171,3,67,"1",934
171,3,67,"3",969
171,3,68,"1",954
171,3,68,"3",1077
171,3,69,"1",897
171,3,69,"3",834
171,3,70,"1",928
